time,x1,x2
2.814070351758794164e+00,3.311272671715748683e-01,3.311272671715748683e-01
2.914572864321608225e+00,3.313369415862039702e-01,3.313369415862039702e-01
3.015075376884422287e+00,3.315267963272188756e-01,3.315267963272188756e-01
3.115577889447236348e+00,3.316986851564718841e-01,3.316986851564718841e-01
3.216080402010050410e+00,3.318542920283086839e-01,3.318542920283086839e-01
3.316582914572864471e+00,3.319951459921735570e-01,3.319951459921735570e-01
3.417085427135678533e+00,3.321226349076051299e-01,3.321226349076051299e-01
3.517587939698492594e+00,3.322380180433892605e-01,3.322380180433893160e-01
3.618090452261306655e+00,3.323424376330185726e-01,3.323424376330186281e-01
3.718592964824120717e+00,3.324369294577228517e-01,3.324369294577229628e-01
3.819095477386934778e+00,3.325224325265286329e-01,3.325224325265286884e-01
3.919597989949748840e+00,3.325997979202708343e-01,3.325997979202708899e-01
4.020100502512563345e+00,3.326697968635218272e-01,3.326697968635218827e-01
4.120603015075377407e+00,3.327331280851120177e-01,3.327331280851120732e-01
4.221105527638191468e+00,3.327904245244417969e-01,3.327904245244418524e-01
4.321608040201005529e+00,3.328422594372416610e-01,3.328422594372417720e-01
4.422110552763819591e+00,3.328891519508937469e-01,3.328891519508938024e-01
4.522613065326633652e+00,3.329315721159412655e-01,3.329315721159413211e-01
4.623115577889447714e+00,3.329699454970275752e-01,3.329699454970276307e-01
4.723618090452261775e+00,3.330046573432584034e-01,3.330046573432584589e-01
4.824120603015075837e+00,3.330360563748811509e-01,3.330360563748812064e-01
4.924623115577889898e+00,3.330644582202439974e-01,3.330644582202440529e-01
5.025125628140703959e+00,3.330901485342422919e-01,3.330901485342423474e-01
5.125628140703518021e+00,3.331133858268761072e-01,3.331133858268761627e-01
5.226130653266332082e+00,3.331344040281379870e-01,3.331344040281380425e-01
5.326633165829146144e+00,3.331534148132113127e-01,3.331534148132113682e-01
5.427135678391960205e+00,3.331706097098913744e-01,3.331706097098914299e-01
5.527638190954774267e+00,3.331861620082276487e-01,3.331861620082277597e-01
5.628140703517588328e+00,3.332002284906216971e-01,3.332002284906217526e-01
5.728643216080402389e+00,3.332129509989940064e-01,3.332129509989940064e-01
5.829145728643216451e+00,3.332244578541479485e-01,3.332244578541478930e-01
5.929648241206030512e+00,3.332348651410899643e-01,3.332348651410899087e-01
6.030150753768844574e+00,3.332442778728206267e-01,3.332442778728205712e-01
6.130653266331658635e+00,3.332527910439665453e-01,3.332527910439665453e-01
6.231155778894472697e+00,3.332604905845849563e-01,3.332604905845849563e-01
6.331658291457286758e+00,3.332674542235171677e-01,3.332674542235171677e-01
6.432160804020100819e+00,3.332737522698052679e-01,3.332737522698052679e-01
6.532663316582914881e+00,3.332794483198934232e-01,3.332794483198934232e-01
6.633165829145728942e+00,3.332845998976199930e-01,3.332845998976199930e-01
6.733668341708543004e+00,3.332892590333514926e-01,3.332892590333514926e-01
6.834170854271357065e+00,3.332934727880159098e-01,3.332934727880158543e-01
6.934673366834171127e+00,3.332972837273037170e-01,3.332972837273037170e-01
7.035175879396985188e+00,3.333007303528563448e-01,3.333007303528562892e-01
7.135678391959799249e+00,3.333038474892031089e-01,3.333038474892030534e-01
7.236180904522613311e+00,3.333066666235543485e-01,3.333066666235542375e-01
7.336683417085427372e+00,3.333092162405641434e-01,3.333092162405640879e-01
7.437185929648241434e+00,3.333115221034445574e-01,3.333115221034445019e-01
7.537688442211055495e+00,3.333136075131736820e-01,3.333136075131736265e-01
7.638190954773869557e+00,3.333154935439138766e-01,3.333154935439138211e-01
7.738693467336683618e+00,3.333171992556755447e-01,3.333171992556754892e-01
7.839195979899497679e+00,3.333187418867435969e-01,3.333187418867435414e-01
7.939698492462311741e+00,3.333201370277329989e-01,3.333201370277329434e-01
8.040201005025126690e+00,3.333213987790226707e-01,3.333213987790226152e-01
8.140703517587940752e+00,3.333225398931579098e-01,3.333225398931578543e-01
8.241206030150754813e+00,3.333235719036520828e-01,3.333235719036520273e-01
8.341708542713568875e+00,3.333245052414867127e-01,3.333245052414866572e-01
8.442211055276382936e+00,3.333253493404831347e-01,3.333253493404830792e-01
8.542713567839196998e+00,3.333261127326075379e-01,3.333261127326074824e-01
8.643216080402011059e+00,3.333268031341710680e-01,3.333268031341710125e-01
8.743718592964825120e+00,3.333274275237932405e-01,3.333274275237931294e-01
8.844221105527639182e+00,3.333279922129158690e-01,3.333279922129158135e-01
8.944723618090453243e+00,3.333285029080227946e-01,3.333285029080227391e-01
9.045226130653267305e+00,3.333289647606301753e-01,3.333289647606301198e-01
9.145728643216081366e+00,3.333293824494672486e-01,3.333293824494671931e-01
9.246231155778895427e+00,3.333297602029481332e-01,3.333297602029480777e-01
9.346733668341709489e+00,3.333301018388742931e-01,3.333301018388742376e-01
9.447236180904523550e+00,3.333304108104094832e-01,3.333304108104094277e-01
9.547738693467337612e+00,3.333306902406117378e-01,3.333306902406116823e-01
9.648241206030151673e+00,3.333309429539386137e-01,3.333309429539385582e-01
9.748743718592965735e+00,3.333311715048088431e-01,3.333311715048087875e-01
9.849246231155779796e+00,3.333313782034176276e-01,3.333313782034175721e-01
9.949748743718593857e+00,3.333315651390853507e-01,3.333315651390852952e-01
1.005025125628140792e+01,3.333317342013744633e-01,3.333317342013744633e-01
1.015075376884422198e+01,3.333318870991869853e-01,3.333318870991869853e-01
1.025125628140703604e+01,3.333320253780371334e-01,3.333320253780371334e-01
1.035175879396985010e+01,3.333321504356718812e-01,3.333321504356718812e-01
1.045226130653266416e+01,3.333322635361990471e-01,3.333322635361990471e-01
1.055276381909547823e+01,3.333323658455910610e-01,3.333323658455910610e-01
1.065326633165829229e+01,3.333324584263891999e-01,3.333324584263891999e-01
1.075376884422110635e+01,3.333325421467612792e-01,3.333325421467613348e-01
1.085427135678392041e+01,3.333326178556303421e-01,3.333326178556303976e-01
1.095477386934673447e+01,3.333326863199145840e-01,3.333326863199146395e-01
1.105527638190954853e+01,3.333327482328445335e-01,3.333327482328446445e-01
1.115577889447236259e+01,3.333328042213167808e-01,3.333328042213168363e-01
1.125628140703517666e+01,3.333328548522417334e-01,3.333328548522417334e-01
1.135678391959799072e+01,3.333329006382824145e-01,3.333329006382824145e-01
1.145728643216080478e+01,3.333329420430455325e-01,3.333329420430455325e-01
1.155778894472361884e+01,3.333329794857754491e-01,3.333329794857754491e-01
1.165829145728643290e+01,3.333330133455995048e-01,3.333330133455995048e-01
1.175879396984924696e+01,3.333330439653661159e-01,3.333330439653661159e-01
1.185929648241206102e+01,3.333330716551167194e-01,3.333330716551167194e-01
1.195979899497487509e+01,3.333330966952252061e-01,3.333330966952252061e-01
1.206030150753768915e+01,3.333331193392362612e-01,3.333331193392362612e-01
1.216080402010050321e+01,3.333331398164330883e-01,3.333331398164330883e-01
1.226130653266331727e+01,3.333331583341586080e-01,3.333331583341586080e-01
1.236180904522613133e+01,3.333331750799152227e-01,3.333331750799151671e-01
1.246231155778894539e+01,3.333331902232630761e-01,3.333331902232630761e-01
1.256281407035175945e+01,3.333332039175373462e-01,3.333332039175373462e-01
1.266331658291457352e+01,3.333332163014002814e-01,3.333332163014002814e-01
1.276381909547738758e+01,3.333332275002456879e-01,3.333332275002456879e-01
1.286432160804020164e+01,3.333332376274682485e-01,3.333332376274682485e-01
1.296482412060301570e+01,3.333332467856120473e-01,3.333332467856121029e-01
1.306532663316582976e+01,3.333332550674086292e-01,3.333332550674086847e-01
1.316582914572864382e+01,3.333332625567159702e-01,3.333332625567160257e-01
1.326633165829145788e+01,3.333332693293677984e-01,3.333332693293678539e-01
1.336683417085427195e+01,3.333332754539411469e-01,3.333332754539412024e-01
1.346733668341708601e+01,3.333332809924509643e-01,3.333332809924510198e-01
1.356783919597990007e+01,3.333332860009779464e-01,3.333332860009780019e-01
1.366834170854271413e+01,3.333332905302363591e-01,3.333332905302364146e-01
1.376884422110552819e+01,3.333332946260876839e-01,3.333332946260877394e-01
1.386934673366834225e+01,3.333332983300048569e-01,3.333332983300049124e-01
1.396984924623115631e+01,3.333333016794922110e-01,3.333333016794922665e-01
1.407035175879397038e+01,3.333333047084653389e-01,3.333333047084653944e-01
1.417085427135678444e+01,3.333333074475944291e-01,3.333333074475944291e-01
1.427135678391959850e+01,3.333333099246147957e-01,3.333333099246147957e-01
1.437185929648241256e+01,3.333333121646077091e-01,3.333333121646077091e-01
1.447236180904522662e+01,3.333333141902545260e-01,3.333333141902545260e-01
1.457286432160804068e+01,3.333333160220660618e-01,3.333333160220660618e-01
1.467336683417085474e+01,3.333333176785905350e-01,3.333333176785905350e-01
1.477386934673366881e+01,3.333333191766013615e-01,3.333333191766013615e-01
1.487437185929648287e+01,3.333333205312666303e-01,3.333333205312666303e-01
1.497487437185929693e+01,3.333333217563033135e-01,3.333333217563033135e-01
