time,row_entropy_connectedness
1.004016064257028162e+01,9.472101282966066549e+01
1.014056224899598391e+01,9.423334008462812506e+01
1.024096385542168619e+01,9.347866328338707831e+01
1.034136546184739025e+01,9.235579153789269924e+01
1.044176706827309253e+01,9.079987052770367484e+01
1.054216867469879482e+01,8.887904374278723196e+01
1.064257028112449710e+01,8.688901787617623995e+01
1.074297188755020116e+01,8.530007924456478463e+01
1.084337349397590344e+01,8.448975809668762338e+01
1.094377510040160573e+01,8.445695651529480585e+01
1.104417670682730979e+01,8.490598563880330119e+01
1.114457831325301207e+01,8.549632494926839854e+01
1.124497991967871435e+01,8.602299181496874780e+01
1.134538152610441841e+01,8.641545687439605672e+01
1.144578313253012070e+01,8.667775989902146705e+01
1.154618473895582298e+01,8.684003265588152942e+01
1.164658634538152526e+01,8.693390171960423629e+01
1.174698795180722932e+01,8.698428587226906927e+01
1.184738955823293161e+01,8.700840237783496889e+01
1.194779116465863389e+01,8.701726693857084172e+01
1.204819277108433795e+01,8.701755864271157748e+01
1.214859437751004023e+01,8.701302242951975074e+01
1.224899598393574252e+01,8.700577738644560100e+01
1.234939759036144658e+01,8.699696484678023012e+01
1.244979919678714886e+01,8.698716501994405803e+01
1.255020080321285114e+01,8.697669944579773471e+01
1.265060240963855342e+01,8.696572051379469315e+01
1.275100401606425748e+01,8.695447042073993771e+01
1.285140562248995977e+01,8.694338269732918434e+01
1.295180722891566205e+01,8.693336137346422277e+01
1.305220883534136611e+01,8.692626931150492453e+01
1.315261044176706839e+01,8.692581334711971408e+01
1.325301204819277068e+01,8.693926859445207356e+01
1.335341365461847296e+01,8.698054247791391447e+01
1.345381526104417702e+01,8.707584070031546730e+01
1.355421686746987930e+01,8.727305431099502186e+01
1.365461847389558159e+01,8.765775073377130866e+01
1.375502008032128565e+01,8.836832861528583294e+01
1.385542168674698793e+01,8.959251330731508745e+01
1.395582329317269021e+01,9.148773906143181023e+01
1.405622489959839427e+01,9.398512432308328357e+01
1.415662650602409656e+01,9.662770851596934563e+01
1.425702811244979884e+01,9.878337638919475694e+01
1.435742971887550112e+01,1.001418581488688062e+02
1.445783132530120518e+01,1.007852120571381107e+02
1.455823293172690747e+01,1.009988442201510566e+02
1.465863453815260975e+01,1.010244159092908234e+02
1.475903614457831381e+01,1.009924827244577585e+02
1.485943775100401609e+01,1.009621685220152472e+02
1.495983935742971838e+01,1.009472989091072748e+02
1.506024096385542244e+01,1.009450470202721419e+02
1.516064257028112472e+01,1.009490746344362009e+02
1.526104417670682700e+01,1.009544207529782369e+02
1.536144578313252929e+01,1.009582999681897917e+02
1.546184738955823335e+01,1.009596548674595340e+02
1.556224899598393563e+01,1.009584296335705886e+02
1.566265060240963791e+01,1.009549781587775072e+02
1.576305220883534197e+01,1.009497699979012140e+02
1.586345381526104426e+01,1.009432511437819073e+02
1.596385542168674654e+01,1.009357744540203186e+02
1.606425702811245060e+01,1.009275743605990385e+02
1.616465863453815288e+01,1.009188276480229263e+02
1.626506024096385516e+01,1.009096035450685775e+02
1.636546184738955745e+01,1.008998787878368262e+02
1.646586345381525973e+01,1.008895462358406121e+02
1.656626506024096201e+01,1.008784219180257082e+02
1.666666666666666785e+01,1.008662461629919136e+02
1.676706827309237013e+01,1.008527016124252214e+02
1.686746987951807242e+01,1.008371541943290595e+02
1.696787148594377470e+01,1.008190082832807093e+02
1.706827309236947698e+01,1.007980879796017888e+02
1.716867469879517927e+01,1.007718154668683752e+02
1.726907630522088510e+01,1.007391073530859984e+02
1.736947791164658739e+01,1.007056477442565523e+02
1.746987951807228967e+01,1.006800508239121257e+02
1.757028112449799195e+01,1.006440586586317636e+02
1.767068273092369424e+01,1.005998258171126309e+02
1.777108433734939652e+01,1.005487422169448450e+02
1.787148594377509880e+01,1.004914601209259928e+02
1.797188755020080464e+01,1.004282743685650559e+02
1.807228915662650692e+01,1.003592193672751165e+02
1.817269076305220921e+01,1.002843147609484333e+02
1.827309236947791149e+01,1.002036053535824891e+02
1.837349397590361377e+01,1.001170999861313078e+02
1.847389558232931606e+01,1.000250345312287834e+02
1.857429718875501834e+01,9.992772663973593694e+01
1.867469879518072418e+01,9.982557788992004077e+01
1.877510040160642646e+01,9.971894577352227884e+01
1.887550200803212874e+01,9.960816065870719171e+01
1.897590361445783103e+01,9.949344085706400165e+01
1.907630522088353331e+01,9.937474315493275867e+01
1.917670682730923559e+01,9.925166131391316071e+01
1.927710843373493788e+01,9.912313625297839792e+01
1.937751004016064371e+01,9.898705814485889221e+01
1.947791164658634600e+01,9.883960490423805823e+01
1.957831325301204828e+01,9.867428951808818738e+01
1.967871485943775056e+01,9.848051119131115172e+01
1.977911646586345285e+01,9.824153169376282335e+01
1.987951807228915513e+01,9.793186957565563944e+01
1.997991967871486096e+01,9.751525707531003206e+01
2.008032128514056325e+01,9.694530870569734304e+01
2.018072289156626553e+01,9.617247862787409929e+01
2.028112449799196781e+01,9.517125764445231084e+01
2.038152610441767010e+01,9.398625462583673595e+01
2.048192771084337238e+01,9.278241093086131741e+01
2.058232931726907466e+01,9.184316814264673212e+01
2.068273092369478050e+01,9.145077966991483720e+01
2.078313253012048278e+01,9.169778143032527851e+01
2.088353413654618507e+01,9.241190968725585719e+01
2.098393574297188735e+01,9.327985780689112971e+01
2.108433734939758963e+01,9.405511634571912793e+01
2.118473895582329192e+01,9.461897111522893056e+01
2.128514056224899420e+01,9.496516708394118211e+01
2.138554216867470004e+01,9.513905428402892994e+01
2.148594377510040232e+01,9.519707078575932258e+01
2.158634538152610460e+01,9.518571665289304917e+01
2.168674698795180689e+01,9.513625242244206959e+01
2.178714859437750917e+01,9.506689199774667998e+01
2.188755020080321145e+01,9.498697711375601216e+01
2.198795180722891729e+01,9.490070321338311032e+01
2.208835341365461957e+01,9.480963996572612018e+01
2.218875502008032186e+01,9.471427580187234696e+01
2.228915662650602414e+01,9.461476299119541977e+01
2.238955823293172642e+01,9.451129139134512513e+01
2.248995983935742871e+01,9.440415428427283473e+01
2.259036144578313099e+01,9.429378261472885470e+01
2.269076305220883683e+01,9.418069996415226797e+01
2.279116465863453911e+01,9.406552697393760809e+01
2.289156626506024139e+01,9.394891077542366986e+01
2.299196787148594368e+01,9.383154417430122862e+01
2.309236947791164596e+01,9.371410723170824042e+01
2.319277108433734824e+01,9.359771573513992848e+01
2.329317269076305053e+01,5.012060531200448565e+01
2.339357429718875636e+01,5.007332752818949473e+01
2.349397590361445864e+01,5.002691720448945034e+01
2.359437751004016093e+01,4.998103624599311701e+01
2.369477911646586321e+01,4.993746638238250313e+01
2.379518072289156549e+01,4.989654093897171805e+01
2.389558232931726778e+01,4.985794366036213177e+01
2.399598393574297006e+01,4.982177011439675596e+01
2.409638554216867590e+01,4.978811442581598357e+01
2.419678714859437818e+01,4.975709363888535819e+01
2.429718875502008046e+01,4.972880488777510521e+01
2.439759036144578275e+01,4.970309004711096890e+01
2.449799196787148503e+01,4.967989544947936764e+01
2.459839357429718731e+01,4.965920052864856160e+01
2.469879518072289315e+01,4.964098627421894605e+01
2.479919678714859543e+01,4.962803990819396915e+01
2.489959839357429772e+01,4.961930134335948850e+01
2.500000000000000000e+01,4.961401409916220473e+01
