time,R_norm
9.236947791164658028e+00,-1.016103938134991884e-02
9.337349397590362088e+00,-1.185258315215543395e-02
9.437751004016064371e+00,-1.551618453482151751e-02
9.538152610441766655e+00,-2.691159180157129752e-02
9.638554216867468938e+00,-6.387965650763298420e-02
9.738955823293172998e+00,-1.783159592493568091e-01
9.839357429718875281e+00,-5.176428877401655360e-01
9.939759036144577564e+00,-1.492787714751685257e+00
1.004016064257028162e+01,-4.199523610801614737e+00
1.014056224899598391e+01,-1.135017460086577223e+01
1.024096385542168619e+01,-2.881164660718716064e+01
1.034136546184739025e+01,-6.625572818874259440e+01
1.044176706827309253e+01,-1.310670624777881415e+02
1.054216867469879482e+01,-2.090236701702193329e+02
1.064257028112449710e+01,-2.518201644118806541e+02
1.074297188755020116e+01,-2.201437605878736576e+02
1.084337349397590344e+01,-1.408143044203894192e+02
1.094377510040160573e+01,-6.970381439535678680e+01
1.104417670682730979e+01,-2.890384433957274979e+01
1.114457831325301207e+01,-1.063703284733730392e+01
1.124497991967871435e+01,-3.581244432369501851e+00
1.134538152610441841e+01,-1.119421898094357770e+00
1.144578313253012070e+01,-3.306199154602208479e-01
1.154618473895582298e+01,-9.653778176450010517e-02
1.164658634538152526e+01,-3.135620955401120097e-02
1.174698795180722932e+01,-1.390561070801364305e-02
1.184738955823293161e+01,-9.276053415003537861e-03
1.194779116465863389e+01,-8.083717672506698579e-03
1.204819277108433795e+01,-7.869273199107235453e-03
1.214859437751004023e+01,-7.948616443389407149e-03
1.224899598393574252e+01,-8.082133203071962049e-03
1.234939759036144658e+01,-8.170089688024354674e-03
1.244979919678714886e+01,-8.165560786146984842e-03
1.255020080321285114e+01,-8.049833297680565256e-03
1.265060240963855342e+01,-7.877746875397228371e-03
1.275100401606425748e+01,-7.989880828715566208e-03
1.285140562248995977e+01,-9.868029270409932677e-03
1.295180722891566205e+01,-1.916361930455151921e-02
1.305220883534136611e+01,-5.631177372505401929e-02
1.315261044176706839e+01,-1.928778677538398045e-01
1.325301204819277068e+01,-6.739748098034835655e-01
1.335341365461847296e+01,-2.309303260092621546e+00
1.345381526104417702e+01,-7.618789520448565611e+00
1.355421686746987930e+01,-2.356677416958518378e+01
1.365461847389558159e+01,-6.550974687861349821e+01
1.375502008032128565e+01,-1.522662439832973575e+02
1.385542168674698793e+01,-2.683739635510368657e+02
1.395582329317269021e+01,-3.233418195352749649e+02
1.405622489959839427e+01,-2.487576152628636521e+02
1.415662650602409656e+01,-1.228567938223082052e+02
