time,R_loc_pc
1.064257028112449710e+01,-2.097905820610801719e-01
1.074297188755020116e+01,-2.097659738417265163e-01
1.084337349397590344e+01,-2.097127354703218760e-01
1.094377510040160573e+01,-2.096337487458369564e-01
1.104417670682730979e+01,-2.095326065271875260e-01
1.114457831325301207e+01,-2.094135422678752578e-01
1.124497991967871435e+01,-2.092812786364320887e-01
1.134538152610441841e+01,-2.091408904996371332e-01
1.144578313253012070e+01,-2.089976648562560380e-01
1.154618473895582298e+01,-2.088569358729252812e-01
1.164658634538152526e+01,-2.087239412244366876e-01
1.174698795180722932e+01,-2.086036540173722420e-01
1.184738955823293161e+01,-2.085006544580302323e-01
1.194779116465863389e+01,-2.084189907487947746e-01
1.204819277108433795e+01,-2.083620668717190982e-01
1.214859437751004023e+01,-2.083325233907029617e-01
1.224899598393574252e+01,-2.083321728493121028e-01
1.234939759036144658e+01,-2.083619525613394918e-01
1.244979919678714886e+01,-2.084218946083459256e-01
1.255020080321285114e+01,-2.085111234338508091e-01
1.265060240963855342e+01,-2.086278532713976563e-01
1.275100401606425748e+01,-2.087694537297579145e-01
1.285140562248995977e+01,-2.089325111740303331e-01
1.295180722891566205e+01,-2.091129220278668543e-01
1.305220883534136611e+01,-2.093060054484304211e-01
1.315261044176706839e+01,-2.095066331320679653e-01
1.325301204819277068e+01,-2.097093657929983701e-01
1.335341365461847296e+01,-2.099086086220722791e-01
1.345381526104417702e+01,-2.100987706518042675e-01
1.355421686746987930e+01,-2.102744125331317271e-01
1.365461847389558159e+01,-2.104304131409196477e-01
1.375502008032128565e+01,-2.105621084960383471e-01
1.385542168674698793e+01,-2.106654330716589696e-01
1.395582329317269021e+01,-2.107370269387185968e-01
1.405622489959839427e+01,-2.107743453431141223e-01
1.415662650602409656e+01,-2.107757290437732856e-01
1.425702811244979884e+01,-2.107404515771622577e-01
1.435742971887550112e+01,-2.106687380010720534e-01
1.445783132530120518e+01,-2.105617752040532809e-01
1.455823293172690747e+01,-2.104216594584543132e-01
1.465863453815260975e+01,-2.102513517273061350e-01
1.475903614457831381e+01,-2.100545869915165231e-01
1.485943775100401609e+01,-2.098357698799804272e-01
1.495983935742971838e+01,-2.095998498315876923e-01
1.506024096385542244e+01,-2.093521834464517339e-01
1.516064257028112472e+01,-2.090983852523194964e-01
1.526104417670682700e+01,-2.088441683632974999e-01
1.536144578313252929e+01,-2.085951898965310858e-01
1.546184738955823335e+01,-2.083568940438106920e-01
1.556224899598393563e+01,-2.081343678522904750e-01
1.566265060240963791e+01,-2.079321984956574443e-01
1.576305220883534197e+01,-2.077543564494197248e-01
1.586345381526104426e+01,-2.076041007699488683e-01
1.596385542168674654e+01,-2.074839047472681330e-01
1.606425702811245060e+01,-2.073953129188261524e-01
1.616465863453815288e+01,-2.073390045804626991e-01
1.626506024096385516e+01,-2.073147561470792821e-01
1.636546184738955745e+01,-2.073214411274045266e-01
1.646586345381525973e+01,-2.073570861704570889e-01
1.656626506024096201e+01,-2.074189216499396915e-01
1.666666666666666785e+01,-2.075034486630473740e-01
1.676706827309237013e+01,-2.076065947088801544e-01
1.686746987951807242e+01,-2.077231566175949395e-01
1.696787148594377470e+01,-2.078482647894392688e-01
1.706827309236947698e+01,-2.079782067329714046e-01
1.716867469879517927e+01,-2.081064609760525652e-01
1.726907630522088510e+01,-2.082285962940586266e-01
1.736947791164658739e+01,-2.083406898876045132e-01
1.746987951807228967e+01,-2.084375363363745182e-01
1.757028112449799195e+01,-2.085151318974980683e-01
1.767068273092369424e+01,-2.085702415916539931e-01
1.777108433734939652e+01,-2.086003417777915758e-01
1.787148594377509880e+01,-2.086038364397339029e-01
1.797188755020080464e+01,-2.085799381817539100e-01
1.807228915662650692e+01,-2.085287502771090151e-01
1.817269076305220921e+01,-2.084512610781308617e-01
1.827309236947791149e+01,-2.083493146044665401e-01
1.837349397590361377e+01,-2.082255520578396302e-01
1.847389558232931606e+01,-2.080833645345749883e-01
1.857429718875501834e+01,-2.079267751143603349e-01
1.867469879518072418e+01,-2.077602853182760057e-01
1.877510040160642646e+01,-2.075888156963237585e-01
1.887550200803212874e+01,-2.074175458043595599e-01
1.897590361445783103e+01,-2.072516779634691053e-01
1.907630522088353331e+01,-2.070963541596926860e-01
1.917670682730923559e+01,-2.069564925725463911e-01
1.927710843373493788e+01,-2.068366420426943075e-01
1.937751004016064371e+01,-2.067408544193298225e-01
1.947791164658634600e+01,-2.066725593336944944e-01
1.957831325301204828e+01,-2.066344714145099681e-01
1.967871485943775056e+01,-2.066285086088110456e-01
1.977911646586345285e+01,-2.066557358624801499e-01
1.987951807228915513e+01,-2.067163240753017717e-01
1.997991967871486096e+01,-2.068095554012843729e-01
2.008032128514056325e+01,-2.069338340115644548e-01
2.018072289156626553e+01,-2.070867029629507861e-01
2.028112449799196781e+01,-2.072649463628919442e-01
2.038152610441767010e+01,-2.074646569098434479e-01
2.048192771084337238e+01,-2.076813432665114423e-01
2.058232931726907466e+01,-2.079100540607761727e-01
2.068273092369478050e+01,-2.081455105760227631e-01
2.078313253012048278e+01,-2.083822595700524638e-01
2.088353413654618507e+01,-2.086148237880517953e-01
2.098393574297188735e+01,-2.088378534755740423e-01
2.108433734939758963e+01,-2.090462782906825634e-01
2.118473895582329192e+01,-2.092354562811533647e-01
2.128514056224899420e+01,-2.094012963027075958e-01
2.138554216867470004e+01,-2.095403863814813694e-01
2.148594377510040232e+01,-2.096500824995239931e-01
2.158634538152610460e+01,-2.097285933905742306e-01
2.168674698795180689e+01,-2.097750216581056593e-01
2.178714859437750917e+01,-2.097893936772601553e-01
2.188755020080321145e+01,-2.097726550917694277e-01
2.198795180722891729e+01,-2.097266437828789742e-01
2.208835341365461957e+01,-2.096540297868386138e-01
2.218875502008032186e+01,-2.095582369749138807e-01
2.228915662650602414e+01,-2.094433446081556127e-01
2.238955823293172642e+01,-2.093140153800620018e-01
2.248995983935742871e+01,-2.091751871590448175e-01
2.259036144578313099e+01,-2.090321276060576328e-01
2.269076305220883683e+01,-2.088901515756796112e-01
2.279116465863453911e+01,-2.087545586425987587e-01
2.289156626506024139e+01,-2.086303867871758255e-01
2.299196787148594368e+01,-2.085223556912346454e-01
2.309236947791164596e+01,-2.084346450557139074e-01
2.319277108433734824e+01,-2.083712347043756852e-01
2.329317269076305053e+01,-2.083349164454944558e-01
2.339357429718875636e+01,-2.083271591662794187e-01
2.349397590361445864e+01,-2.083488307505558246e-01
2.359437751004016093e+01,-2.084006529645591743e-01
2.369477911646586321e+01,-2.084820803655740851e-01
2.379518072289156549e+01,-2.085915816159597536e-01
2.389558232931726778e+01,-2.087267481907182920e-01
2.399598393574297006e+01,-2.088842516713272923e-01
2.409638554216867590e+01,-2.090602850681827496e-01
2.419678714859437818e+01,-2.092503164218710299e-01
2.429718875502008046e+01,-2.094490391440261279e-01
2.439759036144578275e+01,-2.096489744730358207e-01
2.449799196787148503e+01,-2.098459767141350185e-01
2.459839357429718731e+01,-2.100363261113544211e-01
2.469879518072289315e+01,-2.102158002095758094e-01
2.479919678714859543e+01,-2.103783123700057600e-01
2.489959839357429772e+01,-2.105178611421517632e-01
2.500000000000000000e+01,-2.106301500075714594e-01
