time,x1,x2,x3,x4,x5,x6,x7
1.907630522088353375e+00,3.760150874128072029e-01,3.366797095987584143e+00,2.556180921912329929e+00,2.324201259917396456e+00,3.081565495022640655e-01,2.264693137533347334e-01,4.491483103441650249e-01
2.008032128514056325e+00,3.618978434977931369e-01,2.611996875268613572e+00,3.417509613734847296e+00,2.232995285306234035e+00,3.156070869565540948e-01,2.237511361984939051e-01,4.459431226581378471e-01
2.108433734939759052e+00,4.103242189434258558e-01,1.827019324318694293e+00,4.298520993665098544e+00,2.142172115427913415e+00,3.231628103105388394e-01,2.212766070438578203e-01,4.422473224036049255e-01
2.208835341365461780e+00,5.396047878691880850e-01,1.161321338356813060e+00,5.033541566163458825e+00,2.068024013615628931e+00,3.308030471728414246e-01,2.190538950999076362e-01,4.380862106082542007e-01
2.309236947791164507e+00,7.880828301286977311e-01,6.914218554415222373e-01,5.460345284767352148e+00,2.028871633552667308e+00,3.385054312435033519e-01,2.170900663068172920e-01,4.334868075922170827e-01
2.409638554216867234e+00,1.209994059881082995e+00,4.073422741214695053e-01,5.459353184400796977e+00,2.040434579705744600e+00,3.462459976481953583e-01,2.153912153705355437e-01,4.284776945490271771e-01
2.510040160642570406e+00,1.852588269548209432e+00,2.552680132228742904e-01,4.979431727293677667e+00,2.116171086135585799e+00,3.539992927615369100e-01,2.139625850658809780e-01,4.230888485338241689e-01
2.610441767068273133e+00,2.706874538439931754e+00,1.837110448166487386e-01,4.076214005802826890e+00,2.267376456903132720e+00,3.617385621348760405e-01,2.128087071079620418e-01,4.173514105671835006e-01
2.710843373493975861e+00,3.655939515517639737e+00,1.604091653300089571e-01,2.952001325087747485e+00,2.495654477016021389e+00,3.694358808547880124e-01,2.119334874659475620e-01,4.112975126550938998e-01
2.811244979919678588e+00,4.502579198412519190e+00,1.708359880084019400e-01,1.890668639144350793e+00,2.778343434522109412e+00,3.770623759766447147e-01,2.113403193026367477e-01,4.049600318846697800e-01
2.911646586345381316e+00,5.084057349559778061e+00,2.130365789316593650e-01,1.095678945707287966e+00,3.062456397943793540e+00,3.845884066444865135e-01,2.110321513400462423e-01,3.983723857996541717e-01
3.012048192771084487e+00,5.360137664731526641e+00,2.931121031375432673e-01,5.977913928168763213e-01,3.287657720892754210e+00,3.919837904405072404e-01,2.110115613739603768e-01,3.915682986285041189e-01
3.112449799196787215e+00,5.385203901162189055e+00,4.239279483498799572e-01,3.208542086305502528e-01,3.423314130060008953e+00,3.992180214514310377e-01,2.112808032767806710e-01,3.845815789472444846e-01
3.212851405622489942e+00,5.223018403666960907e+00,6.245084558470855862e-01,1.759515924407030474e-01,3.473528465348086236e+00,4.062605096855114173e-01,2.118418511513503188e-01,3.774458914872597104e-01
3.313253012048192669e+00,4.909177737360239213e+00,9.191172126672871867e-01,1.019040744871333032e-01,3.458261650439570900e+00,4.130808092643102891e-01,2.126964325411838386e-01,3.701945524718068814e-01
3.413654618473895397e+00,4.448562726249620347e+00,1.332744462987296430e+00,6.426832753190089842e-02,3.394479915453715524e+00,4.196488628405430354e-01,2.138460251658217126e-01,3.628602996636305367e-01
3.514056224899598568e+00,3.844968594083225444e+00,1.881369581663551838e+00,4.553371482546272886e-02,3.293453426659799455e+00,4.259352305169734065e-01,2.152918704413201711e-01,3.554751106087721824e-01
3.614457831325301296e+00,3.125788907297480712e+00,2.557939837613441902e+00,3.724544878170953782e-02,3.165262954142931573e+00,4.319113138184683121e-01,2.170349600178325400e-01,3.480700222043714431e-01
3.714859437751004023e+00,2.357589204910004010e+00,3.320320206956046238e+00,3.586279593468674060e-02,3.023439861876423329e+00,4.375495934550623911e-01,2.190760078988429616e-01,3.406749466088395129e-01
3.815261044176706751e+00,1.634028357087115912e+00,4.094795076650306065e+00,4.067818809154540027e-02,2.886153852015810539e+00,4.428238256643099446e-01,2.214154205229914296e-01,3.333185396607235562e-01
3.915662650602409478e+00,1.038264505569366447e+00,4.798577035430811044e+00,5.329852306278998197e-02,2.771089887639393456e+00,4.477092441533085942e-01,2.240532497528275879e-01,3.260280715557565823e-01
4.016064257028112650e+00,6.097396120797525798e-01,5.366344204312288646e+00,7.798103006313449048e-02,2.689486574095826033e+00,4.521827394197756589e-01,2.269891392774337491e-01,3.188293234577422863e-01
4.116465863453814933e+00,3.357677731278187472e-01,5.765786224427937867e+00,1.227051473222370431e-01,2.642643370219009302e+00,4.562230333050350528e-01,2.302222584168205632e-01,3.117465024233225246e-01
4.216867469879518104e+00,1.765525409959608494e-01,5.990287935071137326e+00,2.010747142545363242e-01,2.621497052214263768e+00,4.598108277952970280e-01,2.337512307921230659e-01,3.048021835481496411e-01
4.317269076305221276e+00,9.149858438137449534e-02,6.041298357625172422e+00,3.350906514598226416e-01,2.612467754361494698e+00,4.629289454407530258e-01,2.375740513396313591e-01,2.980172714716964877e-01
4.417670682730923559e+00,4.791255823068004543e-02,5.913678428096786455e+00,5.579379647705424716e-01,2.602258718456626596e+00,4.655624406110449032e-01,2.416880037117194735e-01,2.914109874942296674e-01
4.518072289156626731e+00,2.642462644722215134e-02,5.585328211956968048e+00,9.149888798076990515e-01,2.577244909387370164e+00,4.676987037551609272e-01,2.460895673429208674e-01,2.850008738978719869e-01
4.618473895582329014e+00,1.596900515856154723e-02,5.027196583878533964e+00,1.457117529797746114e+00,2.526421360555800799e+00,4.693275437879639300e-01,2.507743240442986132e-01,2.788028185377649515e-01
4.718875502008032186e+00,1.113293291279358367e-02,4.230914464792500773e+00,2.218678961525016646e+00,2.442366127029678591e+00,4.704412555983852329e-01,2.557368608920209674e-01,2.728310970983913730e-01
4.819277108433734469e+00,9.371253621319722629e-03,3.254337899734404349e+00,3.181124288748275131e+00,2.325427608087470954e+00,4.710346693153040776e-01,2.609706753951375191e-01,2.670984298617320452e-01
4.919678714859437640e+00,9.773012845628288939e-03,2.241598350972620057e+00,4.247281775163413542e+00,2.187227807212053676e+00,4.711051845661068938e-01,2.664680802305984808e-01,2.616160531637697906e-01
5.020080321285140812e+00,1.250329254368926814e-02,1.369484427211783428e+00,5.267587904888000772e+00,2.048392527121762008e+00,4.706527876863615401e-01,2.722201143988737249e-01,2.563938002573588060e-01
5.120481927710843095e+00,1.881669627846370776e-02,7.462860972274931726e-01,6.113108632905675854e+00,1.929164494722779954e+00,4.696800533996073335e-01,2.782164584087090664e-01,2.514401930404363550e-01
5.220883534136546267e+00,3.155547858080449269e-02,3.693169226600508392e-01,6.727310135644781752e+00,1.840504155082797633e+00,4.681921304804073092e-01,2.844453597042821413e-01,2.467625385795119697e-01
5.321285140562248550e+00,5.626640709897298698e-02,1.697080995095654743e-01,7.118989702026527588e+00,1.782662121292049706e+00,4.661967118762411766e-01,2.908935685018563810e-01,2.423670300827173718e-01
5.421686746987951722e+00,1.033887786835294836e-01,7.490846386050474537e-02,7.322002290818976356e+00,1.750839052420259057e+00,4.637039868696577471e-01,2.975462841300958727e-01,2.382588549326176142e-01
5.522088353413654893e+00,1.918960753368033623e-01,3.246857287408517340e-02,7.362715622114272662e+00,1.740218900512893185e+00,4.607265793702533530e-01,3.043871202500820772e-01,2.344422966907939998e-01
5.622489959839357176e+00,3.549509470972826986e-01,1.423493583094364613e-02,7.239341761835705213e+00,1.748681727151642606e+00,4.572794680098400955e-01,3.113980846409882819e-01,2.309208404895283784e-01
5.722891566265060348e+00,6.460472543742482587e-01,6.520806914518431120e-03,6.913419915577732056e+00,1.779264252006966363e+00,4.533798901345896248e-01,3.185595784344401049e-01,2.276972744942023230e-01
5.823293172690762631e+00,1.138427499767070250e+00,3.255373043077948968e-03,6.314509874743413853e+00,1.841642166445812467e+00,4.490472278768880554e-01,3.258504158636139625e-01,2.247737883696006300e-01
5.923694779116465803e+00,1.899212079569301048e+00,1.877416415361952539e-03,5.378585955261242724e+00,1.952631862077526259e+00,4.443028787476451247e-01,3.332478653297861193e-01,2.221520654546078333e-01
6.024096385542168974e+00,2.921255259569479623e+00,1.331128880573572175e-03,4.136511119103046141e+00,2.132338951388537573e+00,4.391701093701547709e-01,3.407277125710806431e-01,2.198333693545162781e-01
