time,R_spec_pc
2.309236947791164596e+01,1.053593309610298401e-01
2.319277108433734824e+01,1.030357274866396944e-01
2.329317269076305053e+01,1.009436710533145043e-01
2.339357429718875636e+01,9.906074139265383383e-02
2.349397590361445864e+01,9.736600691582936173e-02
2.359437751004016093e+01,9.584217632482680549e-02
2.369477911646586321e+01,9.448452573841006896e-02
2.379518072289156549e+01,9.328076600613677272e-02
2.389558232931726778e+01,9.222028631475101546e-02
2.399598393574297006e+01,9.129292083286058568e-02
2.409638554216867590e+01,9.048938785731330814e-02
2.419678714859437818e+01,8.980135041133868734e-02
2.429718875502008046e+01,8.922134305277701349e-02
2.439759036144578275e+01,8.874287542984451993e-02
2.449799196787148503e+01,8.836058801892884840e-02
2.459839357429718731e+01,8.806989926768432619e-02
2.469879518072289315e+01,8.786684065692201839e-02
2.479919678714859543e+01,8.773207291161633226e-02
2.489959839357429772e+01,8.767044320169867233e-02
2.500000000000000000e+01,8.768876972649192192e-02
