time,row_entropy_connectedness
9.447236180904523550e+00,1.208174780989317298e+01
9.547738693467337612e+00,1.208174941778856137e+01
9.648241206030151673e+00,1.208175087210224952e+01
9.748743718592965735e+00,1.208175218732674594e+01
9.849246231155779796e+00,1.208175337686506090e+01
9.949748743718593857e+00,1.208175445252277491e+01
1.005025125628140792e+01,1.208175542512860368e+01
1.015075376884422198e+01,1.208175630528833544e+01
1.025125628140703604e+01,1.208175710090851140e+01
1.035175879396985010e+01,1.208175782085136696e+01
1.045226130653266416e+01,1.208175847174326734e+01
1.055276381909547823e+01,1.208175906049398307e+01
1.065326633165829229e+01,1.208175959302917590e+01
1.075376884422110635e+01,1.208176007449415756e+01
1.085427135678392041e+01,1.208176051131993312e+01
1.095477386934673447e+01,1.208176090841435091e+01
1.105527638190954853e+01,1.208176126597964739e+01
1.115577889447236259e+01,1.208176158868967320e+01
1.125628140703517666e+01,1.208176188055507794e+01
1.135678391959799072e+01,1.208176214417725269e+01
1.145728643216080478e+01,1.208176238286626258e+01
1.155778894472361884e+01,1.208176259815346398e+01
1.165829145728643290e+01,1.208176279287484256e+01
1.175879396984924696e+01,1.208176296911291203e+01
1.185929648241206102e+01,1.208176312827633581e+01
1.195979899497487509e+01,1.208176327235345759e+01
1.206030150753768915e+01,1.208176340205187138e+01
1.216080402010050321e+01,1.208176351923331815e+01
1.226130653266331727e+01,1.208176362553790995e+01
1.236180904522613133e+01,1.208176372168492740e+01
1.246231155778894539e+01,1.208176380868862232e+01
1.256281407035175945e+01,1.208176388734291429e+01
1.266331658291457352e+01,1.208176395848597195e+01
1.276381909547738758e+01,1.208176402280109230e+01
1.286432160804020164e+01,1.208176408098849386e+01
1.296482412060301570e+01,1.208176413358794932e+01
1.306532663316582976e+01,1.208176418117599660e+01
1.316582914572864382e+01,1.208176422421621865e+01
1.326633165829145788e+01,1.208176426313443308e+01
1.336683417085427195e+01,1.208176429834900922e+01
1.346733668341708601e+01,1.208176433018061147e+01
1.356783919597990007e+01,1.208176435898451118e+01
1.366834170854271413e+01,1.208176438502434280e+01
1.376884422110552819e+01,1.208176440858001754e+01
1.386934673366834225e+01,1.208176442988274069e+01
1.396984924623115631e+01,1.208176444914117376e+01
1.407035175879397038e+01,1.208176446657265934e+01
1.417085427135678444e+01,1.208176448232876155e+01
1.427135678391959850e+01,1.208176449658287943e+01
1.437185929648241256e+01,1.208176450947647318e+01
1.447236180904522662e+01,1.208176452113182009e+01
1.457286432160804068e+01,1.208176453168060149e+01
1.467336683417085474e+01,1.208176454121554499e+01
1.477386934673366881e+01,1.208176454984080550e+01
1.487437185929648287e+01,1.208176455764190038e+01
1.497487437185929693e+01,1.208176456469087334e+01
1.507537688442211099e+01,1.208176457107197344e+01
1.517587939698492505e+01,1.208176457684512428e+01
1.527638190954773911e+01,1.208176458206220438e+01
1.537688442211055317e+01,1.208176458678492438e+01
1.547738693467336724e+01,1.208176459105571254e+01
1.557788944723618130e+01,1.208176459491445698e+01
1.567839195979899536e+01,1.208176459840683314e+01
1.577889447236180942e+01,1.208176460156674636e+01
1.587939698492462348e+01,1.208176460442507505e+01
1.597989949748743754e+01,1.208176460700964761e+01
1.608040201005025338e+01,1.208176460934748420e+01
1.618090452261306567e+01,1.208176461146135239e+01
1.628140703517588150e+01,1.208176461337357921e+01
1.638190954773869379e+01,1.208176461510266009e+01
1.648241206030150963e+01,1.208176461666659129e+01
1.658291457286432191e+01,1.208176461808047719e+01
1.668341708542713775e+01,1.208176461935985735e+01
1.678391959798995003e+01,1.208176462051648770e+01
1.688442211055276587e+01,1.208176462156297681e+01
1.698492462311557816e+01,1.208176462250912309e+01
1.708542713567839400e+01,1.208176462336503931e+01
1.718592964824120628e+01,1.208176462413901575e+01
1.728643216080402212e+01,1.208176462483903535e+01
1.738693467336683440e+01,1.208176462547219998e+01
1.748743718592965024e+01,1.208176462604472334e+01
1.758793969849246253e+01,1.208176462656268768e+01
1.768844221105527836e+01,1.208176462703096199e+01
1.778894472361809065e+01,1.208176462745465862e+01
1.788944723618090649e+01,1.208176462783768912e+01
1.798994974874371877e+01,1.208176462818423502e+01
1.809045226130653461e+01,1.208176462849745647e+01
1.819095477386934689e+01,1.208176462878076407e+01
1.829145728643216273e+01,1.208176462903715986e+01
1.839195979899497502e+01,1.208176462926889450e+01
1.849246231155779085e+01,1.208176462947862184e+01
1.859296482412060314e+01,1.208176462966824616e+01
1.869346733668341898e+01,1.208176462983970012e+01
1.879396984924623126e+01,1.208176462999487555e+01
1.889447236180904710e+01,1.208176463013511714e+01
1.899497487437185939e+01,1.208176463026200942e+01
1.909547738693467522e+01,1.208176463037679227e+01
1.919597989949748751e+01,1.208176463048057414e+01
1.929648241206030335e+01,1.208176463057446703e+01
1.939698492462311563e+01,1.208176463065933959e+01
1.949748743718593147e+01,1.208176463073613860e+01
1.959798994974874375e+01,1.208176463080556928e+01
1.969849246231155959e+01,1.208176463086837771e+01
1.979899497487437188e+01,1.208176463092518027e+01
1.989949748743718771e+01,1.208176463097654363e+01
2.000000000000000000e+01,1.208176463102303089e+01
