time,x1,x2,x3,x4,x5,x6,x7,x8
2.412060301507537918e+00,4.156766645437245167e+00,1.633814116199050925e+00,1.633814116199050925e+00,2.121094947027238220e+00,7.027726118773560682e-01,7.027726118773560682e-01,5.152832454832653397e+00,1.397642742779100899e+01
2.512562814070351980e+00,3.691924578984679517e+00,1.720179668244972815e+00,1.720179668244972815e+00,2.519493496358271134e+00,7.622495376112256027e-01,7.622495376112256027e-01,3.141194748105074819e+00,1.358493763894866113e+01
2.613065326633166041e+00,3.141692346751037146e+00,1.682289153067391574e+00,1.682289153067391574e+00,2.866005031495363564e+00,8.333570205103965067e-01,8.333570205103965067e-01,1.985852955321195434e+00,1.260207943747659165e+01
2.713567839195980103e+00,2.639982837286180217e+00,1.566016574697894681e+00,1.566016574697894681e+00,3.111390528777059572e+00,9.134627107425741244e-01,9.134627107425741244e-01,1.328340822908903762e+00,1.138341671282749346e+01
2.814070351758794164e+00,2.227748747790867512e+00,1.421190262260319637e+00,1.421190262260319637e+00,3.223591945151796700e+00,9.965332319751504242e-01,9.965332319751504242e-01,9.460839033796140107e-01,1.012682979376101855e+01
2.914572864321608225e+00,1.900324724416990962e+00,1.279005135248513003e+00,1.279005135248513003e+00,3.195967845954250652e+00,1.073553523134583410e+00,1.073553523134583410e+00,7.168905000229588431e-01,8.928249656368194564e+00
3.015075376884422287e+00,1.640306106313551782e+00,1.153420493424095028e+00,1.153420493424095028e+00,3.047313645795860726e+00,1.135010495031378408e+00,1.135010495031378408e+00,5.755683418132427898e-01,7.828601662780561909e+00
3.115577889447236348e+00,1.430739145231786358e+00,1.048149147466041153e+00,1.048149147466041153e+00,2.813228396108899076e+00,1.174057826856331754e+00,1.174057826856331754e+00,4.869949744421866455e-01,6.841079862048630389e+00
3.216080402010050410e+00,1.258492399220804359e+00,9.620140438929919435e-01,9.620140438929919435e-01,2.533518888840238681e+00,1.188434204736350752e+00,1.188434204736350752e+00,4.317927492355370100e-01,5.965396947022262530e+00
3.316582914572864471e+00,1.114201753833753639e+00,8.920186090784176791e-01,8.920186090784176791e-01,2.241988639302498587e+00,1.180240799820177378e+00,1.180240799820177378e+00,3.989999611474742136e-01,5.195015123409655544e+00
3.417085427135678533e+00,9.913832471884945763e-01,8.348771657981084449e-01,8.348771657981084449e-01,1.961869661766518336e+00,1.154244919728528052e+00,1.154244919728528052e+00,3.823102680060161407e-01,4.520801644585747070e+00
3.517587939698492594e+00,8.855530185522142439e-01,7.876676976443087730e-01,7.876676976443087730e-01,1.706101658603495830e+00,1.115979945376366356e+00,1.115979945376366356e+00,3.781058802440322997e-01,3.932875472129815364e+00
3.618090452261306655e+00,7.935562577163749465e-01,7.480296024672270505e-01,7.480296024672270505e-01,1.479938819981252207e+00,1.070449572392721871e+00,1.070449572392721871e+00,3.844048736758164941e-01,3.421528433159809257e+00
3.718592964824120717e+00,7.131058620059386177e-01,7.141525499305932945e-01,7.141525499305932945e-01,1.283847452757407526e+00,1.021563780507805497e+00,1.021563780507805497e+00,4.002871652864767871e-01,2.977665349699774033e+00
3.819095477386934778e+00,6.424819375529139398e-01,6.846882718525085787e-01,6.846882718525085787e-01,1.115763259906177085e+00,9.720798861423597392e-01,9.720798861423597392e-01,4.255798569442448276e-01,2.592991239943357229e+00
3.919597989949748840e+00,5.803419979023262121e-01,6.586481969774299339e-01,6.586481969774299339e-01,9.725526342921118061e-01,9.237834136502297566e-01,9.237834136502297566e-01,4.606892765184698590e-01,2.260065098625888780e+00
4.020100502512563345e+00,5.256030474661356200e-01,6.353123281725487903e-01,6.353123281725487903e-01,8.508427329458346788e-01,8.777325157529155542e-01,8.777325157529155542e-01,5.065204454336578177e-01,1.972284359287452160e+00
