time,x1,x2,x3,x4,x5
2.525252525252525082e+00,2.956785583032220277e+00,1.348435383249342756e+01,8.904211030886746703e-02,1.169881119850916529e-01,1.328013904874059126e-01
2.626262626262626299e+00,1.877210365260113978e+00,1.244987276262442144e+01,1.066228227553801533e-01,1.485302163297975986e-01,1.732729097421716602e-01
2.727272727272727071e+00,1.263550884596892798e+00,1.121135123622647711e+01,1.318807453106247141e-01,1.955709038675407518e-01,2.349432980020135786e-01
2.828282828282828287e+00,9.063390383648798343e-01,9.952438567446957762e+00,1.661619715727392643e-01,2.627737667629174712e-01,3.254570921961877916e-01
2.929292929292929060e+00,6.917816395460358869e-01,8.760472858997228940e+00,2.114560604699715907e-01,3.565596479920619677e-01,4.555519346326426522e-01
3.030303030303030276e+00,5.593678807886215409e-01,7.671669532265284808e+00,2.703045812605733844e-01,4.850498909810016523e-01,6.393672625997742776e-01
3.131313131313131048e+00,4.765018884123902176e-01,6.696710717822571546e+00,3.457040273083860082e-01,6.577163278765200127e-01,8.943931170729357838e-01
3.232323232323232265e+00,4.251832289262527653e-01,5.833977444986745198e+00,4.409332282027787486e-01,8.844266626878602988e-01,1.240567466082791226e+00
3.333333333333333481e+00,3.952240812828987093e-01,5.076231698206373544e+00,5.592515369553650029e-01,1.173585385330548236e+00,1.697941890841713874e+00
3.434343434343434254e+00,3.807724811004108423e-01,4.413983186345708631e+00,7.034449389366008720e-01,1.529279579178537185e+00,2.282479442765202204e+00
3.535353535353535470e+00,3.784932082711373047e-01,3.837182824008538162e+00,8.752601800593202697e-01,1.947881453611901126e+00,3.000168723474103682e+00
3.636363636363636243e+00,3.865938222562606552e-01,3.336060738638010559e+00,1.074856212552440571e+00,2.415363105675632394e+00,3.840804517758398706e+00
3.737373737373737459e+00,4.042939807099064087e-01,2.901520206996226925e+00,1.300469120271758650e+00,2.907123640457502045e+00,4.774023176577707694e+00
3.838383838383838231e+00,4.315359599787530476e-01,2.525298430896474766e+00,1.548453893953600780e+00,3.391592492733851660e+00,5.750393743908556843e+00
3.939393939393939448e+00,4.688323039448972218e-01,2.200004912171392935e+00,1.813702044480974829e+00,3.836992787626706480e+00,6.708629844830107380e+00
4.040404040404040664e+00,5.171959127310302717e-01,1.919096786920658104e+00,2.090228263060644132e+00,4.218564854020410593e+00,7.586889811200487443e+00
4.141414141414140992e+00,5.781234191624016194e-01,1.676823511347093509e+00,2.371637236685920413e+00,4.523092189273717700e+00,8.333875817832371524e+00
4.242424242424242209e+00,6.536163784031230328e-01,1.468158760059417256e+00,2.651296488658458905e+00,4.749240350794039500e+00,8.915824313749125096e+00
4.343434343434343425e+00,7.462323866877872414e-01,1.288729430361785333e+00,2.922253302577415557e+00,4.904536580245558497e+00,9.318002387957845301e+00
4.444444444444444642e+00,8.591626099228709679e-01,1.134747229654667233e+00,3.177082458943464083e+00,5.001025125747350586e+00,9.541883521378078825e+00
