time,x1,x2,x3,x4,x5
8.944723618090453243e+00,4.348984776110014980e-03,1.596132160174901449e+00,4.921579199374879199e-01,1.517540417732328450e-01,4.679248918349886155e-02
9.045226130653267305e+00,4.272722595685342697e-03,1.444014021296138317e+00,4.452339361160303488e-01,1.372793665814538711e-01,4.232747553960929804e-02
9.145728643216081366e+00,4.286225566431711709e-03,1.306390183342853284e+00,4.027829786043088944e-01,1.241850934732499356e-01,3.828846196465170160e-02
9.246231155778895427e+00,4.381631001291639953e-03,1.181887998201919920e+00,3.643809265354139848e-01,1.123401779662176470e-01,3.463495858176998676e-02
9.346733668341709489e+00,4.556231808415328599e-03,1.069262786159814071e+00,3.296433268306468434e-01,1.016258715516569766e-01,3.133028685324514701e-02
9.447236180904523550e+00,4.811472463873967681e-03,9.673866212045356683e-01,2.982218769381502765e-01,9.193461887530185450e-02,2.834123388763880660e-02
9.547738693467337612e+00,5.152434992647223974e-03,8.752378504254378910e-01,2.698011525744251626e-01,8.316903621962851156e-02,2.563773359270075589e-02
9.648241206030151673e+00,5.587664984631220307e-03,7.918913999286382177e-01,2.440955901434745667e-01,7.524097226794733417e-02,2.319257435793418629e-02
9.748743718592965735e+00,6.129253792324313235e-03,7.165098678477956895e-01,2.208467199392987190e-01,6.807064869226661652e-02,2.098113212083473761e-02
9.849246231155779796e+00,6.793134286233449420e-03,6.483353762642884988e-01,1.998206388585079818e-01,6.158587629198170738e-02,1.898112725332811584e-02
9.949748743718593857e+00,7.599573469431007179e-03,5.866821400148511945e-01,1.808057079642417242e-01,5.572134163842007437e-02,1.717240355083279185e-02
1.005025125628140792e+01,8.573863178613755007e-03,5.309297041845622012e-01,1.636104588890452127e-01,5.041795893339140466e-02,1.553672758288836102e-02
1.015075376884422198e+01,9.747225477963675569e-03,4.805167991721190357e-01,1.480616925668232498e-01,4.562228176003743640e-02,1.405760669324514905e-02
1.025125628140703604e+01,1.115796093145465274e-02,4.349357638188374731e-01,1.340027544731085818e-01,4.128596967684057539e-02,1.272012403992389684e-02
1.035175879396985010e+01,1.285288023668795798e-02,3.937274886074820235e-01,1.212919711956234048e-01,3.736530485819929137e-02,1.151078916044520443e-02
1.045226130653266416e+01,1.488907262276348113e-02,3.564768339308876377e-01,1.098012341750932985e-01,3.382075432831783968e-02,1.041740266243916177e-02
1.055276381909547823e+01,1.733607850523742958e-02,3.228084815431427890e-01,9.941471748564688349e-02,3.061657367426647361e-02,9.428933751179192219e-03
1.065326633165829229e+01,2.027855055405163726e-02,2.923831805806888506e-01,9.002771757786816320e-02,2.772044846291575257e-02,8.535409414469893180e-03
1.075376884422110635e+01,2.381950688603959310e-02,2.648943529023504717e-01,8.154560396670099132e-02,2.510316992045964063e-02,7.727814190741446460e-03
1.085427135678392041e+01,2.808430352847012326e-02,2.400650256446307806e-01,7.388287083098649122e-02,2.273834174184719698e-02,6.997999543102920682e-03
1.095477386934673447e+01,3.322548160449408094e-02,2.176450620475258446e-01,6.696228046278208945e-02,2.060211519704861424e-02,6.338601954786235448e-03
1.105527638190954853e+01,3.942867879586464674e-02,1.974086646079047658e-01,6.071409041761225561e-02,1.867294998000530032e-02,5.742968946995479634e-03
1.115577889447236259e+01,4.691983594894037768e-02,1.791521275755389997e-01,5.507535710152541147e-02,1.693139851230165624e-02,5.205092300748767609e-03
1.125628140703517666e+01,5.597397965608163356e-02,1.626918187562329532e-01,4.998930939548069941e-02,1.535991166901829602e-02,4.719547840367295001e-03
1.135678391959799072e+01,6.692592202287449277e-02,1.478623735940950423e-01,4.540478677765517890e-02,1.394266414246858425e-02,4.281441208674569357e-03
1.145728643216080478e+01,8.018329175416014087e-02,1.345150877168052317e-01,4.127573729470616903e-02,1.266539790884921475e-02,3.886359134653645259e-03
1.155778894472361884e+01,9.624239853309662918e-02,1.225164976947436951e-01,3.756077168722583848e-02,1.151528252042049311e-02,3.530325764771699050e-03
1.165829145728643290e+01,1.157075382229040550e-01,1.117471439540992234e-01,3.422277105269887904e-02,1.048079122483376417e-02,3.209763702216426526e-03
1.175879396984924696e+01,1.393144728067663707e-01,1.021005149696738168e-01,3.122854671279746627e-02,9.551592230784137702e-03,2.921459477344462950e-03
1.185929648241206102e+01,1.679589695427201046e-01,9.348217862046268034e-02,2.854855256453562445e-02,8.718454820812841788e-03,2.662533262724804065e-03
1.195979899497487509e+01,2.027314619793427752e-01,8.580911581672623356e-02,2.615665232660185566e-02,7.973170496310674760e-03,2.430412754642350195e-03
1.206030150753768915e+01,2.449591042868886626e-01,7.900928461496121991e-02,2.402994703774363056e-02,7.308489985107042425e-03,2.222811280727377426e-03
1.216080402010050321e+01,2.962567316495530734e-01,7.302146231806781740e-02,2.214867239408185168e-02,6.718077840416290629e-03,2.037710377305453676e-03
1.226130653266331727e+01,3.585885123403720898e-01,6.779544229254939880e-02,2.049618179130725110e-02,6.196487658048663826e-03,1.873347336357045981e-03
1.236180904522613133e+01,4.343423750022158414e-01,6.329270780334533830e-02,1.905904053594282763e-02,5.739162875985829790e-03,1.728208592540125214e-03
1.246231155778894539e+01,5.264195999863411357e-01,5.948777808658838734e-02,1.782727176341862910e-02,5.342471095308005090e-03,1.601030373847902319e-03
1.256281407035175945e+01,6.383422375118518177e-01,5.637054163768658727e-02,1.679481889496968819e-02,5.003784552666194763e-03,1.490808888735140969e-03
1.266331658291457352e+01,7.743811783247473990e-01,5.395009365854534084e-02,1.596032964706232612e-02,4.721626964061719813e-03,1.396823660977965448e-03
1.276381909547738758e+01,9.397075960413677764e-01,5.226094479879576926e-02,1.532843485541405919e-02,4.495919556753192291e-03,1.318679786473335360e-03
1.286432160804020164e+01,1.140569790784502047e+00,5.137309369604798476e-02,1.491181456950687115e-02,4.328380571591604505e-03,1.256378469810724664e-03
1.296482412060301570e+01,1.384495585642353310e+00,5.140859970043359928e-02,1.473455674748672291e-02,4.223169861322051584e-03,1.210431250674297386e-03
1.306532663316582976e+01,1.680515930396291324e+00,5.256953814210710979e-02,1.483772043457630245e-02,4.187939400229569002e-03,1.182044168084815964e-03
1.316582914572864382e+01,2.039396127356977395e+00,5.518643796935192303e-02,1.528875612509028419e-02,4.235572539465140909e-03,1.173416537769526001e-03
1.326633165829145788e+01,2.473839998632751502e+00,5.980553805522454552e-02,1.619800722574804563e-02,4.387144736442454701e-03,1.188235302735240464e-03
