time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
5.025125628140703959e+00,2.296362010422697164e+00,1.401760972700297758e+00,2.544889739815582863e-01,1.723020113572812662e+01,1.496534878240692201e+01,3.470827328882748475e+01,3.270865706901425796e+01,2.350203211985950702e+01,8.238080481344130845e+00,7.274099855027323258e+00
5.125628140703518021e+00,2.506243250660085575e+00,1.444259688102244921e+00,2.654586957646005718e-01,1.715968718783744862e+01,1.496333764388453424e+01,3.467705849553541242e+01,3.267764912589058213e+01,2.348369134764291388e+01,8.247094025457165856e+00,7.296338198354294313e+00
5.226130653266332082e+00,2.733443010445903099e+00,1.501097880508253990e+00,2.818087025060763695e-01,1.706275944656065846e+01,1.496021379729712208e+01,3.463284553348042039e+01,3.263367176945203596e+01,2.345674869497015536e+01,8.261837224423690174e+00,7.333882802992222949e+00
5.326633165829146144e+00,2.978306675116481728e+00,1.574695960863349065e+00,3.048970735110532182e-01,1.693537075012455162e+01,1.495562954319645499e+01,3.457351270202753568e+01,3.257461780920876748e+01,2.341989015162337040e+01,8.283086819384900323e+00,7.388800855204260998e+00
5.427135678391960205e+00,3.240666515744715870e+00,1.668258195982862624e+00,3.366737317830962306e-01,1.677219325899616109e+01,1.494904608813443581e+01,3.449615623210549842e+01,3.249759611959094485e+01,2.337135414790723331e+01,8.311911472751846830e+00,7.463932811284636593e+00
5.527638190954774267e+00,3.519544374793226904e+00,1.786055791123386527e+00,3.799435733571534524e-01,1.656620004939144053e+01,1.493962216900967377e+01,3.439680936257273913e+01,3.239866488884275952e+01,2.330870186270941247e+01,8.349782096452653235e+00,7.563183891722773389e+00
5.628140703517588328e+00,3.812706787160570432e+00,1.933850965816113376e+00,4.387580910325992178e-01,1.630805783854766844e+01,1.492602428151051264e+01,3.426996265161318433e+01,3.227234675202244318e+01,2.322859109129306887e+01,8.398729895531539924e+00,7.691945287121988883e+00
5.728643216080402389e+00,4.116004640444358209e+00,2.119546497760964154e+00,5.189917700385217048e-01,1.598523262740333450e+01,1.490609721121690434e+01,3.410784222846216807e+01,3.211091781413431079e+01,2.312634156202150137e+01,8.461600235944924719e+00,7.857766084026649445e+00
5.829145728643216451e+00,4.422410698301936449e+00,2.354197635186249027e+00,6.291677171133962521e-01,1.558066041064977370e+01,1.487628230154740372e+01,3.389924720107038070e+01,3.190325484125935773e+01,2.299527790107708469e+01,8.542454912501645126e+00,8.071416267627268937e+00
5.929648241206030512e+00,4.720668953689457048e+00,2.653595314681835848e+00,7.815732366817188526e-01,1.507079165874273485e+01,1.483057532989531957e+01,3.362767922035592960e+01,3.163298602945006621e+01,2.282569382143865866e+01,8.647222968970309509e+00,8.348598518030378557e+00
6.030150753768844574e+00,4.993539696284452489e+00,3.040694089240958853e+00,9.935849440459566528e-01,1.442284183401650033e+01,1.475865447129885943e+01,3.326840522818392287e+01,3.127558255268215603e+01,2.260318512183055972e+01,8.784765886131568280e+00,8.712721715297272240e+00
6.130653266331658635e+00,5.215882006386528325e+00,3.549070706737221137e+00,1.288761211700591769e+00,1.359145164187690114e+01,1.464256274625560650e+01,3.278404217924484954e+01,3.079400005197392431e+01,2.230619317372857324e+01,8.968580624099535825e+00,9.199235441497256360e+00
6.231155778894472697e+00,5.353460613387115430e+00,4.226899205963673190e+00,1.696431707911693065e+00,1.251635835152326770e+01,1.445114969241651792e+01,3.211893759791906433e+01,3.013313209069793785e+01,2.190273054829625821e+01,9.219370469597183870e+00,9.861791943610876743e+00
6.331658291457286758e+00,5.364572153518993858e+00,5.138412986386509118e+00,2.247105723704017954e+00,1.112668969270076680e+01,1.413208893367935381e+01,3.119515053409995531e+01,2.921585595406745384e+01,2.134755495975122841e+01,9.568282650582467852e+00,1.077854374717272989e+01
6.432160804020100819e+00,5.207889309436310121e+00,6.353725420653635325e+00,2.959891827235141992e+00,9.365508378293419867e+00,1.360507911107516499e+01,2.991976051330692243e+01,2.795025965830991410e+01,2.058435474911798480e+01,1.005885292666987851e+01,1.205004381609265529e+01
6.532663316582914881e+00,4.859013048658569645e+00,7.910342704494778054e+00,3.820569301939009677e+00,7.253701047235542099e+00,1.277068744406243006e+01,2.822299977640194868e+01,2.626722606511148328e+01,1.956291215206958611e+01,1.074119115572628402e+01,1.376548683145329122e+01
6.633165829145728942e+00,4.331255878986355334e+00,9.740323048728084743e+00,4.759558313108851912e+00,4.982519159957590205e+00,1.156168054079917162e+01,2.613756562864780264e+01,2.419846097139548746e+01,1.827950000397377295e+01,1.164677797839336826e+01,1.590982774920819764e+01
6.733668341708543004e+00,3.684916870295241509e+00,1.161551778341321750e+01,5.652899442190711277e+00,2.926740460654761566e+00,1.003707958059938044e+01,2.386350199016608187e+01,2.194021085400599702e+01,1.682002656047813360e+01,1.274251240400783480e+01,1.825954286486546607e+01
6.834170854271357065e+00,3.009685305799067567e+00,1.320986418938943174e+01,6.362555714337538859e+00,1.444277220591070554e+00,8.426623137541286113e+00,2.170829092065545041e+01,1.979450319790322155e+01,1.534901660835368631e+01,1.390480710423751098e+01,2.044057223389138045e+01
6.934673366834171127e+00,2.388100362688940770e+00,1.426486719051793983e+01,6.794423995556188700e+00,6.112001321286836264e-01,7.026736969264491428e+00,1.992680810434228533e+01,1.801229156710853019e+01,1.403264437809548859e+01,1.496822243323236279e+01,2.216656047842189281e+01
7.035175879396985188e+00,1.868248010600760400e+00,1.469847260034544867e+01,6.928891533168195949e+00,2.361861032782186787e-01,6.042323382943304289e+00,1.863697321857528166e+01,1.671067424571285187e+01,1.297458586139202552e+01,1.581124979486347470e+01,2.336588524566418457e+01
7.135678391959799249e+00,1.461448563056489958e+00,1.458218918828266197e+01,6.807785854809136339e+00,9.078934448710732075e-02,5.540987348969824922e+00,1.785463139353996098e+01,1.590699073982976230e+01,1.221446945723087829e+01,1.638812791085795340e+01,2.410026291632722817e+01
7.236180904522613311e+00,1.155946599260424756e+00,1.405847906681449899e+01,6.500771126612006512e+00,3.765931351257213733e-02,5.510657724307908900e+00,1.755531792941516400e+01,1.557956820868301584e+01,1.175766942578849239e+01,1.670238160129131089e+01,2.445420699417592303e+01
7.336683417085427372e+00,9.314867423965501603e-01,1.327427399498107796e+01,6.077609481380921608e+00,1.791664080870991951e-02,5.914652269497941539e+00,1.770946975078185304e+01,1.570256771110223148e+01,1.160068606490919940e+01,1.677334733373105990e+01,2.448616283767369950e+01
7.437185929648241434e+00,7.680503144092836187e-01,1.234967422349019728e+01,5.594768771152769382e+00,1.015158042777763309e-02,6.695309238974584076e+00,1.828203172511173591e+01,1.624596629126222069e+01,1.174054588417510914e+01,1.662203043284318227e+01,2.422489742984084060e+01
7.537688442211055495e+00,6.492471517316169560e-01,1.137119719406885388e+01,5.092668293599717622e+00,6.976110837252216118e-03,7.747303142063006298e+00,1.920232933301324252e+01,1.714535994777431327e+01,1.216484377985755216e+01,1.627708795884282011e+01,2.369147206476830192e+01
7.638190954773869557e+00,5.627899524492938621e-01,1.039609605317737007e+01,4.597854625093350300e+00,5.839530460774691734e-03,8.914757152673805862e+00,2.033693179577252153e+01,1.827206019708649620e+01,1.282663841030641194e+01,1.578897462382839834e+01,2.293357443663207107e+01
7.738693467336683618e+00,4.998590572175333202e-01,9.459595845544102488e+00,4.126466472606131752e+00,5.926435518726650906e-03,1.004065364268689642e+01,2.151334718199427343e+01,1.945282525641346538e+01,1.362869520856357575e+01,1.523126696208611186e+01,2.204394328286187132e+01
7.839195979899497679e+00,4.542497066478383694e-01,8.581576721205676606e+00,3.687409557417889783e+00,7.219074318442807517e-03,1.102489032013176029e+01,2.258871281883088145e+01,2.053910468896277308e+01,1.444774585223000507e+01,1.467926144018433376e+01,2.113649535409458124e+01
7.939698492462311741e+00,4.216287052696485738e-01,7.771732550842148868e+00,3.284800930143660480e+00,1.041813316503367032e-02,1.183621220069495728e+01,2.349447946260593767e+01,2.145659937979365495e+01,1.518607444927329730e+01,1.418458434603224916e+01,2.030085253635740017e+01
8.040201005025126690e+00,3.989722921779290665e-01,7.033238766194902958e+00,2.919704770471142297e+00,1.755784411210296186e-02,1.248612690404785219e+01,2.422541172457759018e+01,2.219722596470771947e+01,1.580025675935735485e+01,1.376799676072312018e+01,1.958019467499273603e+01
8.140703517587940752e+00,3.841668778185839406e-01,6.365249436169118091e+00,2.591313047851225626e+00,3.404400440125288085e-02,1.300105956709973576e+01,2.480673243672649519e+01,2.278570237290982448e+01,1.629072551710154926e+01,1.342846004921961800e+01,1.898016164903343395e+01
8.241206030150754813e+00,3.757335247638611819e-01,5.764554466465457772e+00,2.297728275463667647e+00,7.478129987937597034e-02,1.340782914018083360e+01,2.527247261017470947e+01,2.325641590484056564e+01,1.667840773975252233e+01,1.315460760638220528e+01,1.848632364185222698e+01
8.341708542713568875e+00,3.726400450603443715e-01,5.226660119865352172e+00,2.036473164244314127e+00,1.828984719878621323e-01,1.372910804591715994e+01,2.566183756091756507e+01,2.364883884824055471e+01,1.699090823906587389e+01,1.293078421040956449e+01,1.807363804690083242e+01
8.442211055276382936e+00,3.741731731534383987e-01,4.746482377894830407e+00,1.804816997342129969e+00,4.861751793682819733e-01,1.398303273234189881e+01,2.603482130124001870e+01,2.402250054160571224e+01,1.726376802946199263e+01,1.273566734031006753e+01,1.770160387866572194e+01
8.542713567839196998e+00,3.798513967290472748e-01,4.318783439142872105e+00,1.599980470093439244e+00,1.341669376751247089e+00,1.418390889165124413e+01,2.652140068426566799e+01,2.450522474367416237e+01,1.756139264817410250e+01,1.252994908880118885e+01,1.728480314763132952e+01
8.643216080402011059e+00,3.893652349182962213e-01,3.938438987370700861e+00,1.419260520117536117e+00,3.479142114911532246e+00,1.434299658045945769e+01,2.740275011913594483e+01,2.537433664173569170e+01,1.802611002238347737e+01,1.222815736243666507e+01,1.662481199769064588e+01
8.743718592964825120e+00,4.025361157820982472e-01,3.600594594324189934e+00,1.260102794914096380e+00,7.189948841085485931e+00,1.446915882985377166e+01,2.895987434246151793e+01,2.691568336655683069e+01,1.888016450267311797e+01,1.169980796129683043e+01,1.541056226415610197e+01
