time,R_spec_pc
6.325301204819276712e+00,3.999999999440887244e+00
6.425702811244979884e+00,3.999999999440887244e+00
6.526104417670683056e+00,3.999999999440887244e+00
6.626506024096385339e+00,3.999999999440887244e+00
6.726907630522088510e+00,4.000000002993601811e+00
6.827309236947790794e+00,4.000000002993602699e+00
6.927710843373493965e+00,4.000000002993601811e+00
7.028112449799197137e+00,4.000000002993601811e+00
7.128514056224899420e+00,4.000000002993601811e+00
7.228915662650602592e+00,4.000000002993601811e+00
7.329317269076304875e+00,4.000000002993601811e+00
7.429718875502008046e+00,4.000000002993601811e+00
7.530120481927711218e+00,4.000000002993601811e+00
7.630522088353413501e+00,3.999999999440888132e+00
7.730923694779116673e+00,3.999999999440888132e+00
7.831325301204818956e+00,3.999999999440888132e+00
7.931726907630522128e+00,3.999999999440888132e+00
8.032128514056225299e+00,3.999999999440888132e+00
8.132530120481927582e+00,3.999999999440888132e+00
8.232931726907629866e+00,3.999999999440888132e+00
8.333333333333333925e+00,3.999999999440888132e+00
8.433734939759036209e+00,3.999999999440888132e+00
8.534136546184738492e+00,3.999999999440888132e+00
8.634538152610442552e+00,4.000000001217244971e+00
8.734939759036144835e+00,4.000000001217244971e+00
8.835341365461847118e+00,4.000000001217244971e+00
8.935742971887549402e+00,4.000000001217244971e+00
9.036144578313253461e+00,4.000000001217244971e+00
9.136546184738955745e+00,3.999999999440888132e+00
9.236947791164658028e+00,3.999999999440888132e+00
9.337349397590362088e+00,3.999999999440888132e+00
9.437751004016064371e+00,4.000000001217244971e+00
9.538152610441766655e+00,3.999999999440888132e+00
9.638554216867468938e+00,3.999999999440888132e+00
9.738955823293172998e+00,3.999999999440888132e+00
9.839357429718875281e+00,4.000000001217244971e+00
9.939759036144577564e+00,3.999999999440888132e+00
1.004016064257028162e+01,3.999999999440888132e+00
1.014056224899598391e+01,3.999999999440888132e+00
1.024096385542168619e+01,3.999999999440888132e+00
1.034136546184739025e+01,3.999999999440888132e+00
1.044176706827309253e+01,4.000000001217244971e+00
1.054216867469879482e+01,3.999999999440888576e+00
1.064257028112449710e+01,3.999999999440888132e+00
1.074297188755020116e+01,4.000000001217244971e+00
1.084337349397590344e+01,3.999999999440887244e+00
1.094377510040160573e+01,3.999999999440888132e+00
1.104417670682730979e+01,3.999999999440888132e+00
1.114457831325301207e+01,3.999999999440887244e+00
1.124497991967871435e+01,4.000000002993601811e+00
1.134538152610441841e+01,4.000000002993602699e+00
1.144578313253012070e+01,4.000000002993601811e+00
1.154618473895582298e+01,4.000000002993601811e+00
1.164658634538152526e+01,4.000000002993601811e+00
1.174698795180722932e+01,4.000000002993601811e+00
1.184738955823293161e+01,4.000000002993601811e+00
1.194779116465863389e+01,4.000000002993601811e+00
1.204819277108433795e+01,4.000000002993601811e+00
1.214859437751004023e+01,3.999999999440888132e+00
1.224899598393574252e+01,3.999999999440888132e+00
1.234939759036144658e+01,3.999999999440888132e+00
1.244979919678714886e+01,3.999999999440888132e+00
1.255020080321285114e+01,3.999999999440888132e+00
