time,x1,x2
5.923694779116465803e+00,1.042176839921705600e+01,6.583149729306214670e-01
6.024096385542168974e+00,1.228517400164166240e+01,7.971651833588394576e-01
6.124497991967871258e+00,1.435022505037944285e+01,1.024903664546412241e+00
6.224899598393574429e+00,1.651744667765524710e+01,1.403789509260063406e+00
6.325301204819276712e+00,1.853900373039313365e+01,2.049924200155483600e+00
6.425702811244979884e+00,1.993463005825245205e+01,3.154470786930149373e+00
6.526104417670683056e+00,1.995370826992146362e+01,4.962205245956211819e+00
6.626506024096385339e+00,1.785403354647074181e+01,7.586290945780834960e+00
6.726907630522088510e+00,1.383427986166261903e+01,1.055330945191632175e+01
6.827309236947790794e+00,9.350344545421176434e+00,1.285862718656999526e+01
6.927710843373493965e+00,5.820918332128576012e+00,1.384797397905943050e+01
7.028112449799197137e+00,3.549556513887406339e+00,1.368053873902364614e+01
7.128514056224899420e+00,2.226819398139063377e+00,1.281361526193846068e+01
7.228915662650602592e+00,1.472255942797946693e+00,1.164133121596511877e+01
7.329317269076304875e+00,1.034522861883735212e+00,1.039358232845198948e+01
7.429718875502008046e+00,7.732172512516162222e-01,9.184683043681664216e+00
7.530120481927711218e+00,6.129294322797071981e-01,8.065727297960529896e+00
7.630522088353413501e+00,5.126145237052746051e-01,7.055895798914334272e+00
7.730923694779116673e+00,4.498169642378357924e-01,6.157596016775278791e+00
7.831325301204818956e+00,4.118521504121517851e-01,5.365628337616345611e+00
7.931726907630522128e+00,3.914368563301872106e-01,4.671472655779253635e+00
8.032128514056225299e+00,3.843749356622932489e-01,4.065464983858855241e+00
8.132530120481927582e+00,3.882767175329654430e-01,3.537953394321115663e+00
8.232931726907629866e+00,4.020695068210178302e-01,3.079681133464553522e+00
8.333333333333333925e+00,4.253874502328581775e-01,2.682261802228508518e+00
8.433734939759036209e+00,4.585075193003850802e-01,2.338110560467890231e+00
8.534136546184738492e+00,5.022266153627140683e-01,2.040469509352071942e+00
8.634538152610442552e+00,5.578191859001973008e-01,1.783375699625037836e+00
8.734939759036144835e+00,6.270596181950151005e-01,1.561581671546868888e+00
8.835341365461847118e+00,7.123253356139678250e-01,1.370421928317040017e+00
8.935742971887549402e+00,8.164752096054327390e-01,1.205996510087702367e+00
9.036144578313253461e+00,9.428991628204299591e-01,1.065112321481035185e+00
9.136546184738955745e+00,1.096220280431775329e+00,9.446410883498999045e-01
9.236947791164658028e+00,1.281792683496307816e+00,8.419738323576667627e-01
9.337349397590362088e+00,1.505535540913798487e+00,7.551712199785379775e-01
9.437751004016064371e+00,1.775280931691724629e+00,6.825405109668698511e-01
9.538152610441766655e+00,2.100458229895927786e+00,6.223980098857914145e-01
9.638554216867468938e+00,2.492320581996028128e+00,5.737074946927326335e-01
9.738955823293172998e+00,2.963412101591182513e+00,5.357026850162115439e-01
9.839357429718875281e+00,3.529688926237020574e+00,5.081587308091000121e-01
9.939759036144577564e+00,4.208288583637509461e+00,4.910826429641273472e-01
1.004016064257028162e+01,5.020665759063330569e+00,4.855412966796376906e-01
1.014056224899598391e+01,5.988779410714554885e+00,4.929257406961485288e-01
1.024096385542168619e+01,7.138015166267217992e+00,5.166988224503815674e-01
1.034136546184739025e+01,8.492578528550730255e+00,5.627842559100099118e-01
1.044176706827309253e+01,1.007369847921761696e+01,6.403063192119938796e-01
1.054216867469879482e+01,1.188849670888017407e+01,7.669373232725521516e-01
1.064257028112449710e+01,1.391566025511995974e+01,9.733904781243318816e-01
1.074297188755020116e+01,1.606989015497963180e+01,1.316172023930940460e+00
1.084337349397590344e+01,1.814058562516053641e+01,1.898198971418660896e+00
1.094377510040160573e+01,1.969878209051414331e+01,2.894846486581451384e+00
1.104417670682730979e+01,2.004121432800450719e+01,4.546273535745450900e+00
1.114457831325301207e+01,1.839634715896037065e+01,7.009680305813094314e+00
1.124497991967871435e+01,1.470923140509182225e+01,9.958448738677573076e+00
1.134538152610441841e+01,1.019803747890901668e+01,1.246824896379215275e+01
1.144578313253012070e+01,6.410487311040146352e+00,1.373882572085441289e+01
1.154618473895582298e+01,3.910310951754977005e+00,1.376292632606342181e+01
1.164658634538152526e+01,2.436460067543618102e+00,1.299847662731569287e+01
1.174698795180722932e+01,1.596081258501165223e+00,1.186487721452513355e+01
