time,R_norm
9.538152610441766655e+00,-1.287613949258522617e+01
9.638554216867468938e+00,-1.841670120971852143e+01
9.738955823293172998e+00,-2.645553702744154378e+01
9.839357429718875281e+00,-3.802734662125405407e+01
9.939759036144577564e+00,-5.452625726024032105e+01
1.004016064257028162e+01,-7.783583133454504832e+01
1.014056224899598391e+01,-1.103038704452803529e+02
1.024096385542168619e+01,-1.546626762397659718e+02
1.034136546184739025e+01,-2.133737718445641178e+02
1.044176706827309253e+01,-2.873131180010969956e+02
1.054216867469879482e+01,-3.718483754687727583e+02
1.064257028112449710e+01,-4.502444502671592090e+02
1.074297188755020116e+01,-4.841291208401012227e+02
1.084337349397590344e+01,-4.194300140742450367e+02
1.094377510040160573e+01,-2.814358869695002454e+02
1.104417670682730979e+01,-4.508069406682874387e+02
1.114457831325301207e+01,-1.559997981006974214e+03
1.124497991967871435e+01,-2.761763118720558396e+03
1.134538152610441841e+01,-2.242526898959933078e+03
1.144578313253012070e+01,-1.008192690105212250e+03
1.154618473895582298e+01,-3.845959656801285860e+02
1.164658634538152526e+01,-2.201028411282407831e+02
1.174698795180722932e+01,-1.861947919526808164e+02
1.184738955823293161e+01,-1.672037629206127178e+02
1.194779116465863389e+01,-1.438891872749676679e+02
1.204819277108433795e+01,-1.186185766088575946e+02
1.214859437751004023e+01,-9.481546790917691681e+01
1.224899598393574252e+01,-7.425154757043030429e+01
1.234939759036144658e+01,-5.735910001076950238e+01
1.244979919678714886e+01,-4.389930469784539468e+01
1.255020080321285114e+01,-3.337957349003437457e+01
1.265060240963855342e+01,-2.526686645212556570e+01
1.275100401606425748e+01,-1.907146880554391544e+01
1.285140562248995977e+01,-1.437916644293219370e+01
1.295180722891566205e+01,-1.085580378187169259e+01
1.305220883534136611e+01,-8.239651400658773994e+00
1.315261044176706839e+01,-6.333015673078292274e+00
1.325301204819277068e+01,-4.992061795205252395e+00
1.335341365461847296e+01,-4.119028991604368528e+00
1.345381526104417702e+01,-3.657961925263440328e+00
1.355421686746987930e+01,-3.593036491103484220e+00
1.365461847389558159e+01,-3.951152854830292327e+00
1.375502008032128565e+01,-4.808585134133249284e+00
1.385542168674698793e+01,-6.304439860130959694e+00
1.395582329317269021e+01,-8.658053927058581678e+00
1.405622489959839427e+01,-1.220195758901173910e+01
1.415662650602409656e+01,-1.741830400559204506e+01
1.425702811244979884e+01,-2.499991361786745259e+01
1.435742971887550112e+01,-3.591692983811707052e+01
1.445783132530120518e+01,-5.150402594775034970e+01
1.455823293172690747e+01,-7.354801902042852646e+01
1.465863453815260975e+01,-1.043116550088495273e+02
1.475903614457831381e+01,-1.464665758530158826e+02
1.485943775100401609e+01,-2.026221918505662529e+02
1.495983935742971838e+01,-2.739703326301485617e+02
1.506024096385542244e+01,-3.570919330196150554e+02
1.516064257028112472e+01,-4.375252820932924465e+02
1.526104417670682700e+01,-4.813354435418121398e+02
1.536144578313252929e+01,-4.346621591993786069e+02
1.546184738955823335e+01,-2.973792029667185375e+02
1.556224899598393563e+01,-3.727509244631208958e+02
1.566265060240963791e+01,-1.323438230662569822e+03
1.576305220883534197e+01,-2.652731604440170031e+03
1.586345381526104426e+01,-2.407936859053484113e+03
1.596385542168674654e+01,-1.162930151879065306e+03
1.606425702811245060e+01,-4.384204010628570813e+02
1.616465863453815288e+01,-2.308661498315418044e+02
1.626506024096385516e+01,-1.885565714240078421e+02
1.636546184738955745e+01,-1.697125879661141141e+02
1.646586345381525973e+01,-1.471773484972340782e+02
1.656626506024096201e+01,-1.220391854776341205e+02
1.666666666666666785e+01,-9.795386614182332607e+01
1.676706827309237013e+01,-7.693093871327846500e+01
1.686746987951807242e+01,-5.954788371031637695e+01
1.696787148594377470e+01,-4.563668845546424535e+01
1.706827309236947698e+01,-3.473649110719883737e+01
1.716867469879517927e+01,-2.631405101549652059e+01
1.726907630522088510e+01,-1.987231729075670117e+01
1.736947791164658739e+01,-1.498688370493944078e+01
1.746987951807228967e+01,-1.131317952220651080e+01
1.757028112449799195e+01,-8.580266620051691717e+00
1.767068273092369424e+01,-6.582308508143677628e+00
1.777108433734939652e+01,-5.168609878496259746e+00
1.787148594377509880e+01,-4.235198290184681191e+00
1.797188755020080464e+01,-3.721159925403703550e+00
1.807228915662650692e+01,-3.606126006191223698e+00
1.817269076305220921e+01,-3.911516219273133643e+00
1.827309236947791149e+01,-4.707871198502489030e+00
1.837349397590361377e+01,-6.125830559153817134e+00
1.847389558232931606e+01,-8.376625277910456191e+00
1.857429718875501834e+01,-1.177442722099769057e+01
1.867469879518072418e+01,-1.678759493186145590e+01
1.877510040160642646e+01,-2.408098482982080313e+01
1.887550200803212874e+01,-3.458327722234425039e+01
1.897590361445783103e+01,-4.959065741843839703e+01
1.907630522088353331e+01,-7.082424169070270636e+01
1.917670682730923559e+01,-1.004722256960331492e+02
1.927710843373493788e+01,-1.411436766244738692e+02
1.937751004016064371e+01,-1.955041370130011842e+02
1.947791164658634600e+01,-2.648698857884294284e+02
1.957831325301204828e+01,-3.464341520879755194e+02
1.967871485943775056e+01,-4.272853619971600665e+02
1.977911646586345285e+01,-4.757443461236022699e+02
1.987951807228915513e+01,-4.396250320356555221e+02
1.997991967871486096e+01,-3.067933510306547760e+02
2.008032128514056325e+01,-3.347790295187772927e+02
2.018072289156626553e+01,-1.172053211645641795e+03
2.028112449799196781e+01,-2.533721056412159669e+03
2.038152610441767010e+01,-2.480911201978232839e+03
2.048192771084337238e+01,-1.267590801664150831e+03
2.058232931726907466e+01,-4.822860611627408502e+02
2.068273092369478050e+01,-2.396726076915139458e+02
2.078313253012048278e+01,-1.896558716652577630e+02
2.088353413654618507e+01,-1.707286599493210417e+02
2.098393574297188735e+01,-1.491048219032402642e+02
2.108433734939758963e+01,-1.242224501185588537e+02
2.118473895582329192e+01,-1.000469482341073899e+02
2.128514056224899420e+01,-7.875163788107867902e+01
2.138554216867470004e+01,-6.104963287922853965e+01
2.148594377510040232e+01,-4.684050385812754769e+01
2.158634538152610460e+01,-3.568026620404176441e+01
2.168674698795180689e+01,-2.704315928528997404e+01
2.178714859437750917e+01,-2.042965597364766950e+01
2.188755020080321145e+01,-1.540904606789436215e+01
2.198795180722891729e+01,-1.162975135879836230e+01
2.208835341365461957e+01,-8.814880659425906373e+00
2.218875502008032186e+01,-6.752642835172431468e+00
2.228915662650602414e+01,-5.287391988095948570e+00
2.238955823293172642e+01,-4.311633264831100654e+00
2.248995983935742871e+01,-3.760132494427187222e+00
2.259036144578313099e+01,-3.608387568312340754e+00
2.269076305220883683e+01,-3.873864659894479701e+00
2.279116465863453911e+01,-4.621867283373116919e+00
2.289156626506024139e+01,-5.977228021734569907e+00
2.299196787148594368e+01,-8.142027718432956362e+00
2.309236947791164596e+01,-1.142355371786098495e+01
2.319277108433734824e+01,-1.626903064657967946e+01
2.329317269076305053e+01,-2.332586042191290332e+01
2.339357429718875636e+01,-3.349758471785649050e+01
2.349397590361445864e+01,-4.804029731605385933e+01
2.359437751004016093e+01,-6.863370587490268804e+01
2.369477911646586321e+01,-9.743008038204307297e+01
2.379518072289156549e+01,-1.370334762841478096e+02
2.389558232931726778e+01,-1.900314577870611288e+02
2.399598393574297006e+01,-2.580216473629428720e+02
2.409638554216867590e+01,-3.386976963162822472e+02
2.419678714859437818e+01,-4.201663718301033441e+02
2.429718875502008046e+01,-4.731025881535630901e+02
2.439759036144578275e+01,-4.460191172092455076e+02
2.449799196787148503e+01,-3.178677315232397405e+02
2.459839357429718731e+01,-3.097956269614905978e+02
2.469879518072289315e+01,-1.057161512569553906e+03
2.479919678714859543e+01,-2.439021473521481767e+03
2.489959839357429772e+01,-2.548602089986182818e+03
2.500000000000000000e+01,-1.360689783344230136e+03
